date,ticker,price,action,co_executed,outfit,outfit_text,timeframe,post_id
2025-08-23,,,,,,,,1959102701213466710
2025-08-28,SQQQ,17.25,purchased,NVDA,,,,1961093841605546367
2025-08-28,SQQQ,17.25,purchased,,,MA33,30m,1961094588015501816
2025-08-28,SQQQ,17.25,,,,,,1961100804015927602
2025-08-28,VIXY,34.46,purchased,SQQQ,,,,1961122723423556092
2025-08-28,VIXY,34.46,,SQQQ,,,,1961123434102231133
2025-08-28,VIXY,34.46,,,,,,1961128440427577806
2025-08-28,VIXY,34.46,,,,,,1961140960311824480
2025-08-28,VIX,34.46,cut,"SQQQ, SVIX",,,,1961142198042595795
2025-08-28,VIXY,34.46,,,,,,1961143275970334729
2025-08-28,SQQQ,17.25,,,,,,1961143896135930065
2025-08-28,VIXY,34.46,,,,,,1961149277213749669
2025-08-29,,,,,,,,1961335972421087236
2025-08-31,,,,,,,,1962096880873300231
2025-09-01,,,,,,,,1962374304768913599
2025-09-02,,,,,,,,1962756943417876714
2025-09-04,,,,,,,,1963417437891883406
2025-09-10,GME,21.54,,,,,,1965783974804132350
2025-09-11,GLL,18.59,purchased,,,MA28 / MA57 / MA114 / MA228 / MA456 / MA911,3m,1966221733842792931
2025-09-11,GLL,18.59,,,,,,1966257028671893780
2025-09-12,GLL,18.59,hold,,,,,1966493897980604496
2025-09-12,GLL,18.25,purchased,,,MA228 / [GLL 3M 911 MA28 MA57 MA114 MA228 MA456 MA911] / MA28 / MA57 / MA114 / MA456 / MA911,3m,1966494439162986583
2025-09-12,GLL,18.25,,,,,,1966494563352412470
2025-09-12,GLL,18.25,,,,,,1966495292846416168
2025-09-12,DXY,,hold,GLL,,sadogeenakamoto positive arbitrage outfit,,1966499291066958116
2025-09-12,GLL,18.25,,,,,,1966520996913098878
2025-09-17,GME,21.54,,,,,,1968333733045600757
2025-09-17,VIXY,32.95,purchased,SVIX,,SVIX outfit / [SVIX outfit SMA 36 52 106 211 422 844],5m,1968335880973885719
2025-09-17,VIXY,32.95,cut,,,[5M MA422] / MA422,5m,1968336458194018713
2025-09-17,VIXY,32.95,,,,,,1968338933525442618
2025-09-17,VIXY,32.95,,,,,,1968340071112917334
2025-09-17,VIXY,32.95,,,,,,1968353185665515764
2025-09-17,VIXY,32.95,,,,,,1968354504946172134
2025-09-17,VIXY,,,,,,,1968355566931386377
2025-09-17,VIXY,32.95,,,,,,1968356612239929697
2025-09-17,VIXY,32.95,cut,,,,,1968374412211798143
2025-09-17,SVIX,21.43,purchased,,,SVIX from 21.43 . 33 SMA outfit,,1968376567614292018
2025-09-17,VIXY,21.43,purchased,SVIX,,SVIX from 21.43 . 33 SMA outfit,,1968377025682722944
2025-09-17,VIXY,21.43,,SVIX,,SVIX from 21.43 . 33 SMA outfit,,1968377297725202717
2025-09-17,VIXY,21.43,purchased,SVIX,,SVIX from 21.43 . 33 SMA outfit,,1968377889424121864
2025-09-17,VIXY,,purchased,SVIX,,,,1968378249467306364
2025-09-17,VIXY,21.43,,SVIX,,SVIX from 21.43 . 33 SMA outfit,,1968378463611666832
2025-09-17,SVIX,21.43,,,,,,1968378982644203810
2025-09-17,SVIX,21.43,,,,,,1968386354578145696
2025-09-17,VIXY,21.43,purchased,SVIX,,,,1968387056138338566
2025-09-17,VIXY,21.43,purchased,SVIX,,,,1968392364512411730
2025-09-17,RWM,17.00,purchased,,,33 outfit / MA66 / [parm:MA66],3m,1968397039282032956
2025-09-17,RWM,17.00,,,,,,1968397189475979287
2025-09-17,RWM,17.00,,,,,,1968397521086013566
2025-09-18,RWM,,hold,TZA,,,,1968668804839305502
2025-09-18,RWM,,hold,,,,,1968669096221810743
2025-09-18,RWM,,hold,,,,,1968671343957647411
2025-09-18,SPXU,13.90,purchased,,,MA37,10m,1968679380726558756
2025-09-18,SPXU,13.90,,,,,,1968679493683261872
2025-09-18,SPXU,13.90,,,,,,1968679787288760687
2025-09-18,SPXU,13.90,,,,,,1968680320334500281
2025-09-24,RWM,,hold,,,,,1970933134226288852
2025-09-24,RWM,,hold,,,,,1970933459737772395
2025-09-24,RWM,,hold,,,,3m,1970937200213926337
2025-09-25,RWM,,hold,,,,,1971209591905276324
2025-10-07,,,,,,,,1975426730979709069
2025-10-09,RWM,,hold,,,,,1976300198868681174
2025-10-09,RWM,17.00,purchased,,,33 outfit / MA66 / [parm:MA66],3m,1976312003535962183
2025-10-09,RWM,,hold,,,,,1976335496482865447
2025-10-10,RWM,,hold,,,,,1976679370359202016
2025-10-10,RWM,,hold,,,,,1976739467265446281
2025-10-12,TZA,,purchased,"RWM, IWM",,,,1977390794634887188
2025-11-02,SPY,,purchased,,,,,1985106178226204739
2025-11-05,RWM,,purchased,,,,,1985869156756177338
2025-11-06,GME,21.54,purchased,,,,,1986545336375255368
2025-11-06,RWM,,hold,,,,,1986573765061587275
2025-11-06,RWM,,hold,,,,,1986575647419081060
2025-11-07,RWM,,purchased,,,,,1986821314657784182
2025-11-07,RWM,,purchased,,,,,1986828767394980338
2025-11-07,RWM,,hold,,,,,1986833380349255925
2025-11-08,RWM,17.00,hold,,,,,1987031376017903715
2025-11-11,RWM,16.08,purchased,"SPX, DJI, IXIC",,SMA outfit,,1988110621871927580
2025-11-13,RWM,,hold,,,there was extremely high outfit / MA66 / [parm:MA66],3m,1989048436164030569
2025-11-13,RWM,,hold,,,,,1989066823397175405
2025-11-17,RWM,,hold,IWM,,iding scale based on how relevant a SMA outfit,3m,1990545998117294568
2025-11-18,RWM,,hold,,,,,1990608328729465142
2025-11-30,RWM,16.08,cut,TZA,,,,1994921992521486813
2025-12-10,RWM,16.08,purchased,TZA,,,,1998645681708482653
2025-12-10,RWM,,sold,,,,,1998841386028904889
2025-12-10,CONL,20.54,purchased,COIN,,MA548,10m,1998845074218926303
2025-12-10,CONL,,,,,,,1998850892947403211
2025-12-11,CONL,20.54,purchased,,,,,1998950903240602121
2025-12-11,CONL,,purchased,"DJI, SVIX",,,,1998954099677737307
2025-12-12,ETHU,56.96,purchased,,,,20m,1999541245790786035
2025-12-12,ETHU,56.96,,,,MA30 / MA41 / MA81 / MA163 / MA325 / MA650,20m,1999541530525360477
2025-12-12,DUST,7.58,purchased,,,e's an outfitting program at the 10M 47 outfit,10m,1999564274314699003
2025-12-12,DUST,7.58,,,,,,1999578160162034145
2025-12-14,ETHU,56.96,sold,,,,,2000112468677607682
2025-12-15,DUST,7.58,,,,,,2000574617933824359
2025-12-15,DUST,7.58,,,,,,2000576337732399240
2025-12-15,DUST,7.57,,,,,,2000576736606769645
2025-12-15,ETHU,56.96,,,,,,2000577440968487061
2025-12-15,DUST,7.58,,,,,,2000579844002755061
2025-12-15,DUST,7.58,,,,,,2000581805703913579
2025-12-15,DUST,7.58,,,,,,2000582214602690856
2025-12-15,ETHU,,,,,,,2000586907575517230
2025-12-15,ETHU,,,,,,,2000587082247405925
2025-12-15,SOXL,,purchased,SOX,,itting program operating on the 15M 180 outfit,15m,2000594126782554178
2025-12-15,SOXL,,,SOX,,,,2000595608223306144
2025-12-15,SOXL,,,SOX,,,,2000604262834090436
2025-12-15,DUST,7.58,,,,,,2000606471818789277
2025-12-16,DUST,7.58,,,,,,2000936602995236883
2025-12-16,DUST,7.58,,,,,,2000946250288713980
2025-12-16,DUST,7.58,,,,,,2000961427646111823
2025-12-16,DUST,7.58,,,,,,2000970430501544154
2025-12-16,DUST,7.58,purchased,,,,,2000971302715421163
2025-12-16,DUST,7.58,,,,,,2001011356326354989
2025-12-17,,,,,,,,2001317500919885905
2025-12-17,DUST,7.58,,,,,,2001319052300394862
2025-12-17,DUST,7.58,,,,,,2001341878726463722
2025-12-17,SOXL,36.40,purchased,,,SOXL 36.40 as risk. 2H 46 outfit / MA368 / MA23 / MA46 / MA92 / MA184 / MA736,2h,2001344289453064535
2025-12-17,SOXL,36.40,,,,,,2001344775073751086
2025-12-17,SOXL,36.40,,,,,,2001348476404470199
2025-12-17,MUU,63.36,purchased,MU,,22 55 77 222 555 777 outfit / MA777,30m,2001364549493305502
2025-12-17,MUU,63.36,,,,,,2001364704183357580
2025-12-17,MUU,63.63,hold,,,ies analysis based on this specific SMA outfit / [MA777] / MA777,,2001367009813237923
2025-12-17,MUU,,hold,,,,,2001392043549937838
2025-12-17,MUU,,hold,,,,,2001397647928684671
2025-12-17,MUU,,hold,,,,,2001398174834135400
2025-12-17,MUU,63.63,hold,,,MA777,,2001401694006198499
2025-12-17,SQQQ,,purchased,,,,,2001406423037809003
2025-12-18,MUU,,,,,,,2001535773708079389
2025-12-18,MUU,82.19,purchased,,,,,2001661721585553821
2025-12-18,MUU,,,,,,,2001670788613837309
2025-12-18,MUU,,hold,,,,,2001671020504363352
2025-12-19,MUU,,hold,,,,,2002042691748864401
2025-12-19,MUU,,purchased,,,,,2002065874250027113
2025-12-22,MUU,,purchased,,,,,2002955164215640300
2025-12-24,MUU,,purchased,,,,,2003843231256305923
2025-12-24,SOXL,,hold,,,,,2003848704063836383
2025-12-24,XLE,,sold,,,,,2003889910907076870
2025-12-24,XLE,91.97,sold,,,XLE 404 outfit,,2003890960661729589
2025-12-25,,,,,,,,2004260601833705505
2025-12-25,,,,,,,,2004262814903648716
2026-01-03,MUU,,purchased,,,,,2007254546981245356
2026-01-16,MUU,000.00,purchased,,,,,2012246316592566437
2026-01-21,MUU,,purchased,MU,,,,2014046501136375927
2026-01-21,FAS,42.02,purchased,,,,2h,2014076817104314481
2026-01-21,FAS,,purchased,,,,,2014087397768610051
2026-01-22,FAS,,purchased,,,,2h,2014347621494931806
2026-01-22,,42.02,,,,,,2014348083648446575
2026-01-22,FAS,,,,,,2h,2014386778892075032
2026-01-22,TQQQ,,sold,"SOXL, SVIX, TSLA",,,,2014392778864967866
2026-01-22,,,,,,,,2014398835351814638
2026-01-23,,42.02,,,,,,2014709362917568811
2026-01-23,FAS,,purchased,,,,,2014724323106553978
2026-01-23,,42.02,,,,,,2014725898348724529
