n,date_et,case,category,outfit,timeframe,ticker,direction,status,source,outfit_from,post_id,thread
01,2023-03-22,8,Precision Buy,MA222,2m,SQQQ,,OK,text+image,linked post,1638591891926315008,threads/01_1638591891926315008/thread.md
02,2023-06-05,17,Precision Buy,AAPL has been using the 420 outfit / MA420,15s,AAPL,,OK,text,thread post 1,1665724472509489153,threads/02_1665724472509489153/thread.md
03,2023-07-17,9,Precision Buy,22/55,15s,TQQQ,,OK,text+image,linked post,1680939924688891907,threads/03_1680939924688891907/thread.md
04,2023-09-12,18,Precision Buy,MA200,2m,IXIC,,OK,text+image,linked post,1701648625942823328,threads/04_1701648625942823328/thread.md
05,2023-09-21,6,Precision Buy,Well happening just now is the Biden MA outfit / MA368,15s,SQQQ,,OK,text+image,linked post,1704869290284085405,threads/05_1704869290284085405/thread.md
06,2023-10-06,7,Precision Buy,MA25 MA51 MA101 MA202 MA404 MA808,15s,TQQQ,,OK,image,,1710286567292670381,threads/06_1710286567292670381/thread.md
07,2023-10-31,16,Precision Buy,MA808,2m,TQQQ,,OK,text+image,linked post,1719392379776758111,threads/07_1719392379776758111/thread.md
08,2023-11-08,5,Precision Buy,2m ma528 . The 33rd Day outfit / MA528,2m,IXIC,,OK,text+image,linked post,1722300546579906918,threads/08_1722300546579906918/thread.md
09,2023-11-09,4,Precision Buy,World Trade outfit,2m,TQQQ,,OK,text+image,linked post,1722639754444112000,threads/09_1722639754444112000/thread.md
10,2023-11-21,3,Precision Buy,MA999,2m,TQQQ,,OK,text+image,linked post,1726988134590865457,threads/10_1726988134590865457/thread.md
11,2023-11-22,2,Precision Buy,15s 46 outfit / MA736,15s,TQQQ,,OK,text+image,linked post,1727346193087521118,threads/11_1727346193087521118/thread.md
12,2023-12-05,1,Precision Buy,MA25 MA51 MA101 MA202 MA404 MA808,3m,IXIC,,OK,image,,1732096473830129976,threads/12_1732096473830129976/thread.md
13,2023-12-14,1,Optimized Buy,MA404,,SQQQ,,OK,text,linked post,1735328921116434754,threads/13_1735328921116434754/thread.md
14,2024-01-08,14,Precision Buy,hey've operated the Dollar using Elon's outfit,20m,DXY,,OK,text+image,linked post,1744426109792637303,threads/14_1744426109792637303/thread.md
15,2024-02-06,15,Precision Buy,ate the NASDAQ like this. The 22/55 sma outfit / MA555 / 22/55,2m,IXIC,,OK,text+image,linked post,1754948852875133242,threads/15_1754948852875133242/thread.md
16,2024-03-18,13,Precision Buy,MA420,3m,TSLA,,OK,text,linked post,1769777022702592176,threads/16_1769777022702592176/thread.md
17,2024-03-28,12,Precision Buy,at 443.73. That's the Waring's Problem outfit / MA279,2m,QQQ,,OK,text,linked post,1773401391211680189,threads/17_1773401391211680189/thread.md
18,2024-04-18,11,Precision Buy,,1m,TQQQ,,REVIEW (no outfit),image,,1781030313558446458,threads/18_1781030313558446458/thread.md
19,2024-04-19,10,Precision Buy,MA22,30s,TQQQ,,OK,text+image,linked post,1781374864101929388,threads/19_1781374864101929388/thread.md
20,2024-05-14,19,Precision Buy,triggering the 30/60 SMA outfit / 30/60,2m,TQQQ GME,,OK,text,linked post,1790431830908477912,threads/20_1790431830908477912/thread.md
21,2024-06-04,20,Precision Buy,MA60,5m,DJI,long,OK,text,thread post 1,1798025296303812840,threads/21_1798025296303812840/thread.md
22,2024-06-12,21,Precision Buy,nt of arbitrage operating on the 47 SMA outfit / MA99,5m,TQQQ,,OK,text,linked post,1800979221155881206,threads/22_1800979221155881206/thread.md
23,2024-06-27,22,Precision Buy,MA20 MA100 MA250,20m,SOXS,long,OK,text+image,,1806322176234278947,threads/23_1806322176234278947/thread.md
24,2024-06-28,1,Hard Stop,MA448,3m,TQQQ,long,OK,text,linked post,1806729697952465164,threads/24_1806729697952465164/thread.md
25,2024-06-28,1,Automated Short,ore context now. Remember that SAME sma outfit,30s,TQQQ,,OK,text,linked post,1806754622008389809,threads/25_1806754622008389809/thread.md
26,2024-07-01,23,Precision Buy,MA200,2m,QQQ,,OK,text,linked post,1807859031392018829,threads/26_1807859031392018829/thread.md
27,2024-07-08,24,Precision Buy,MA25 MA50 MA100 MA200 MA400 MA600,2m,IXIC,long,OK,image,,1810385042373480462,threads/27_1810385042373480462/thread.md
28,2024-07-10,2,Hard Stop,144 MA outfit / MA144,3m,GME,,OK,text+image,linked post,1811106996160188797,threads/28_1811106996160188797/thread.md
29,2024-07-10,2,Automated Short,specific sma outfit / MA72,3m,GME,,OK,text,linked post,1811111465740554585,threads/29_1811111465740554585/thread.md
30,2024-07-19,25,Precision Buy,MA808,2m,SPXU,,OK,text,linked post,1814382183920050199,threads/30_1814382183920050199/thread.md
31,2024-07-22,26,Precision Buy,TQQQ 72.12 . 3m MA188 47 outfit / MA188,3m,TQQQ,,OK,text,linked post,1815414234634977687,threads/31_1815414234634977687/thread.md
32,2024-08-09,2,Optimized Buy,MA444,1m,QQQ,long,OK,text,linked post,1821944746127831132,threads/32_1821944746127831132/thread.md
33,2024-08-16,27,Precision Buy,Speaker of the House outfit / MA224,1m,QQQ,,OK,text+image,linked post,1824513003234226409,threads/33_1824513003234226409/thread.md
34,2024-08-22,3,Optimized Buy,,2m,SQQQ,long,REVIEW (no outfit),text,,1826614964129554523,threads/34_1826614964129554523/thread.md
35,2024-08-27,28,Precision Buy,MA52,30s,TQQQ,long,OK,text,linked post,1828458249819140212,threads/35_1828458249819140212/thread.md
36,2024-08-27,3,Automated Short,MA844,3m,IXIC,,OK,text+image,linked post,1828533657545638205,threads/36_1828533657545638205/thread.md
37,2024-08-28,4,Optimized Buy,MA100 / MA250,,SVIX TQQQ NVDA,long,OK,text,linked post,1828864244819095888,threads/37_1828864244819095888/thread.md
38,2024-08-28,29,Precision Buy,ng the SVIX on this drop while this SMA outfit,,SVIX,long,OK,text,thread post 1,1828868949095883126,threads/38_1828868949095883126/thread.md
39,2024-09-06,5,Optimized Buy,30/60/90/300/600/900,15m,DJI,,OK,text,linked post,1832092949821419752,threads/39_1832092949821419752/thread.md
40,2024-09-11,6,Optimized Buy,MA100,20m,DJI,,OK,text,linked post,1833869111249830387,threads/40_1833869111249830387/thread.md
41,2024-09-17,30,Precision Buy,erating on the 10M Waring's Problem SMA outfit / MA279,10m,SVIX VIX,,OK,text,linked post,1836091941202858086,threads/41_1836091941202858086/thread.md
42,2024-09-20,7,Optimized Buy,he visually concise and streamlined SMA outfit,,TQQQ,long,OK,text,linked post,1837202985765531734,threads/42_1837202985765531734/thread.md
43,2024-10-01,31,Precision Buy,MA512,5m,SPXU,,OK,text,linked post,1841185720612110398,threads/43_1841185720612110398/thread.md
44,2024-10-04,32,Precision Buy,MA20 MA40 MA80 MA160 MA320 MA640,5m,UVIX,,OK,text+image,,1842195776489066924,threads/44_1842195776489066924/thread.md
45,2025-01-07,34,Precision Buy,integer 20 outfit / MA320,5m,IXIC,long,OK,text,linked post,1876730644643877321,threads/45_1876730644643877321/thread.md
46,2025-01-08,33,Precision Buy,onductors and China. This is the XI SMA outfit,,SOXL,,OK,text,linked post,1877047004276080858,threads/46_1877047004276080858/thread.md
47,2025-01-08,35,Precision Buy,onductors and China. This is the XI SMA outfit,,SOXL,,OK,text,linked post,1877047004276080858,threads/47_1877047004276080858/thread.md
48,2025-01-10,11,Optimized Buy,MA512,1h,QQQ,long,OK,text,linked post,1877736761671172278,threads/48_1877736761671172278/thread.md
49,2025-01-13,8,Optimized Buy,SMA outfit / MA512,1h,QQQ,,OK,text,linked post,1878828879642779906,threads/49_1878828879642779906/thread.md
50,2025-01-30,9,Optimized Buy,etized buying algorithm on the 30M SVIX outfit / MA26 / MA52 / MA116 / MA211 / MA422 / MA844,30m,RWM SVIX,long,OK,text,linked post,1884973416471839009,threads/50_1884973416471839009/thread.md
51,2025-01-30,12,Optimized Buy,etized buying algorithm on the 30M SVIX outfit / MA26 / MA52 / MA116 / MA211 / MA422 / MA844,30m,RWM SVIX,long,OK,text,linked post,1884973416471839009,threads/51_1884973416471839009/thread.md
52,2025-02-06,10,Optimized Buy,etized buying algorithm on the 30M SVIX outfit / MA26 / MA52 / MA116 / MA211 / MA422 / MA844,30m,RWM SVIX,long,OK,text,linked post,1887521789670269384,threads/52_1887521789670269384/thread.md
53,2025-02-06,13,Optimized Buy,etized buying algorithm on the 30M SVIX outfit / MA26 / MA52 / MA116 / MA211 / MA422 / MA844,30m,RWM SVIX,long,OK,text,linked post,1887521789670269384,threads/53_1887521789670269384/thread.md
54,2025-03-28,3,Hard Stop,singular penny break of 91.97. 404 SMA outfit,,XLE,long,OK,text,linked post,1905679351645176076,threads/54_1905679351645176076/thread.md
55,2025-05-22,4,Hard Stop,world trade outfit / MA114,,SQQQ,long,OK,text,linked post,1925556780178055173,threads/55_1925556780178055173/thread.md
56,2025-05-22,36,Precision Buy,[MA23 MA46 MA91 MA183 MA365 MA730] / MA365 / MA23 / MA46 / MA91 / MA183 / MA730,3m,SQQQ,,OK,text,linked post,1925629925949579475,threads/56_1925629925949579475/thread.md
57,2025-06-02,5,Hard Stop,y orders. So I've picked up XLE. 3M 404 outfit,3m,XLE,long,OK,text,linked post,1929608902343381373,threads/57_1929608902343381373/thread.md
58,2025-06-05,6,Hard Stop,MA22 MA55 MA77 MA222 MA555 MA777,30m,ERX,long,OK,text+image,,1930648319723766134,threads/58_1930648319723766134/thread.md
59,2025-06-10,7,Hard Stop,4H Xi outfit / [MA28 MA56 MA112 MA224 MA448 MA976] / MA28 / MA56 / MA112 / MA224 / MA448 / MA976,4h,SCO,long,OK,text,linked post,1932466222467285249,threads/59_1932466222467285249/thread.md
60,2025-06-11,8,Hard Stop,MA224,2m,SOXL,long,OK,text,linked post,1932828618344051095,threads/60_1932828618344051095/thread.md
61,2025-06-11,14,Optimized Buy,ries analysis' to trigger the UK PM SMA outfit / MA180,3m,SPX UPRO SPY,,OK,text,linked post,1932836814257336587,threads/61_1932836814257336587/thread.md
62,2025-06-11,9,Hard Stop,rated specifically to move on from Xi's outfit / MA777 / MA22 / MA55 / MA77 / MA222 / MA555,3m,TQQQ,long,OK,text,linked post,1932863224170607030,threads/62_1932863224170607030/thread.md
63,2025-06-11,37,Precision Buy,MA464.ISMA outfit / MA464 / MA29 / MA58 / MA116 / MA232 / MA928,5m,SPY,long,OK,text,linked post,1932867631956263205,threads/63_1932867631956263205/thread.md
