[2026-03-17T10:40:03.729788] TQQQ | precision_buy_algorithm | SMA57 | President 45 | 3M | critical | TQQQ PRECISION BUY SMA57 [President 45] 3M | PRECISION BUY — SMA 57 at 48.27 | OHLC4 48.27 (current bar) | Close 48.27 | Hard stop: 48.26 | Drawdown 1.0% from 48.76 | TF: 3M
[2026-03-17T10:41:20.570126] DIA | automated_short_order | SMA10 | S&P 500 System | 3M | critical | DIA AUTO SHORT SMA10 [S&P 500 System] 3M | AUTO SHORT — SMA 10 at 472.58 | OHLC4 472.58 (prev bar) | Close 472.43 | Hard stop: 472.59 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:41:20.617027] DIA | automated_short_order | SMA66 | EVIL (666) | 3M | critical | DIA AUTO SHORT SMA66 [EVIL (666)] 3M | AUTO SHORT — SMA 66 at 472.57 | OHLC4 472.58 (prev bar) | Close 472.43 | Hard stop: 472.58 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:41:20.941401] DIA | automated_short_order | SMA25 | Resource Missing (404) | 3M | critical | DIA AUTO SHORT SMA25 [Resource Missing (404)] 3M | AUTO SHORT — SMA 25 at 472.57 | OHLC4 472.58 (prev bar) | Close 472.43 | Hard stop: 472.58 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:41:36.144398] UDOW | automated_short_order | SMA24 | President 47 | 3M | critical | UDOW AUTO SHORT SMA24 [President 47] 3M | AUTO SHORT — SMA 24 at 53.57 | OHLC4 53.58 (prev bar) | Close 53.54 | Hard stop: 53.58 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:41:36.202248] UDOW | automated_short_order | SMA25 | Resource Missing (404) | 3M | critical | UDOW AUTO SHORT SMA25 [Resource Missing (404)] 3M | AUTO SHORT — SMA 25 at 53.58 | OHLC4 53.58 (prev bar) | Close 53.54 | Hard stop: 53.59 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:41:38.707543] UDOW | precision_buy_algorithm | SMA22 | LUCKY (777) | 10M | critical | UDOW PRECISION BUY SMA22 [LUCKY (777)] 10M | PRECISION BUY — SMA 22 at 53.49 | OHLC4 53.50 (prev bar) | Close 53.56 | Hard stop: 53.48 | Drawdown 1.7% from 54.44 | TF: 10M
[2026-03-17T10:41:41.513610] UDOW | automated_short_order | SMA333 | EVIL (666) | 20M | critical | UDOW AUTO SHORT SMA333 [EVIL (666)] 20M | AUTO SHORT — SMA 333 at 53.60 | OHLC4 53.60 (prev bar) | Close 53.56 | Hard stop: 53.61 (penny above) | SYSTEM NEGATIVE | TF: 20M
[2026-03-17T10:41:41.566652] UDOW | automated_short_order | SMA279 | Waring's Problem | 20M | critical | UDOW AUTO SHORT SMA279 [Waring's Problem] 20M | AUTO SHORT — SMA 279 at 53.59 | OHLC4 53.60 (prev bar) | Close 53.56 | Hard stop: 53.60 (penny above) | SYSTEM NEGATIVE | TF: 20M
[2026-03-17T10:41:53.257826] SDOW | automated_short_order | SMA600 | Dow Jones System | 10M | critical | SDOW AUTO SHORT SMA600 [Dow Jones System] 10M | AUTO SHORT — SMA 600 at 33.75 | OHLC4 33.75 (prev bar) | Close 33.71 | Hard stop: 33.76 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T10:41:53.301821] SDOW | automated_short_order | SMA22 | LUCKY (777) | 10M | critical | SDOW AUTO SHORT SMA22 [LUCKY (777)] 10M | AUTO SHORT — SMA 22 at 33.76 | OHLC4 33.75 (prev bar) | Close 33.71 | Hard stop: 33.77 (penny above) | SYSTEM NEGATIVE | TF: 10M
